title,categoryName,city,totalScore,reviewsCount
Pantai Tanjung Kait,Tujuan Wisata,Kabupaten Tangerang,4.0,2519.0
Pantai Batu Saung,Klub pantai,Kabupaten Serang,4.4,3660.0
Saung Dolet,Restoran Sunda,Kabupaten Serang,4.2,1823.0
Pecak Bandeng Tanpa Duri Luy Resto - Cabang Sawahluhur,Restoran Seafood,Kota Serang,4.2,1289.0
Danau Tasikardi,Tujuan Wisata,Kabupaten Serang,4.0,1041.0
Saung Ende,Restoran,Kabupaten Serang,4.2,1234.0
Hesa Fishing (Pemancingan Hesa),Kolam Memancing,Kabupaten Tangerang,4.2,1062.0
Sports Club Talaga Bestari,Klub Olahraga,Kabupaten Tangerang,4.3,793.0
Air Alam Cipanas Tirta Lebak Buana,Tujuan Wisata,Kabupaten Lebak,4.3,5784.0
Kolam Renang Tirta Wiguna,Kolam Renang,Kota Serang,4.4,590.0
Aqualand Serang,Kolam Renang Umum,Kota Serang,4.2,2627.0
DX WATER PARK,Kolam Renang Umum,Kabupaten Tangerang,4.1,1197.0
Pantai pasir putih Florida Indah Anyer,Tujuan Wisata,Kabupaten Serang,4.3,5147.0
Pemandian Air Panas Gunung Torong,Tujuan Wisata,Kabupaten Pandeglang,4.3,4054.0
Lereng Cibolang Lebak Banten,Tujuan Wisata,Kabupaten Lebak,4.4,1345.0
Pulau Cangkir,Tujuan Wisata,Kabupaten Tangerang,4.2,1223.0
Mall Of Serang,Pusat Perbelanjaan,Kota Serang,4.3,16197.0
Kolam Renang CitraRaya,Kolam Renang Umum,Kabupaten Tangerang,4.2,1233.0
Curug Cipanas,Tujuan Wisata,Kabupaten Bandung Barat,4.1,6618.0
Gedung Sate,Bangunan Bersejarah,Kota Bandung,4.7,8532.0
Braga CityWalk,Pusat Perbelanjaan,Kota Bandung,4.5,25349.0
Saung Angklung Udjo,Pusat Kesenian,Kota Bandung,4.7,17163.0
Orchid Forest Cikole,Tujuan Wisata,Kabupaten Bandung Barat,4.6,34008.0
Farm House Susu Lembang,Tujuan Wisata,Kabupaten Bandung Barat,4.4,67612.0
Sunrise Point Cukul,Titik Pemandangan,Kabupaten Bandung,4.7,5066.0
Trans Studio Bandung,Taman Hiburan,Kota Bandung,4.6,82891.0
Museum Pendidikan Nasional Universitas Pendidikan Indonesia,Museum Sejarah,Kota Bandung,4.7,1208.0
Museum Sri Baduga,Museum,Kota Bandung,4.5,4684.0
Floating Market Lembang,Pasar Apung,Kabupaten Bandung Barat,4.5,55872.0
Mountain View Golf Club,Lapangan Golf,Kabupaten Bandung,4.5,1695.0
Masjid PUSDAI Jawa Barat,Masjid,Kota Bandung,4.7,14592.0
Nu Art Studio,Museum,Bandung,4.9,1544.0
Masjid Raya Al-Jabbar,Masjid,Kota Bandung,4.7,17192.0
Kiara Artha Park,Taman Kota,Kota Bandung,4.6,16225.0
Museum Pos Indonesia,Museum,Kota Bandung,4.6,1358.0
Lembang Park & Zoo,Kebun Binatang,Kabupaten Bandung Barat,4.7,26107.0
Panama Park 825,Taman Bermain Dalam Ruangan,Kota Bandung,4.6,3321.0
Taman Hutan Raya Ir. H. Djuanda,Tujuan Wisata,Kabupaten Bandung,4.6,21900.0
Water Park Bandung Indah,Taman Rekreasi Air,Kabupaten Bandung,4.0,2045.0
